,Label,Modelo 2,Modelo 1,Modelo 3,Modelo 4,Ensemble,Modelo 5,Modelo 6
0,0,0.52084285,0.25388914,0.16248539,0.2704583,0.52084285,0.008618861,0.0013162196
1,0,0.29248995,0.1525537,0.12735587,0.09004527,0.29248995,0.29127276,0.060810626
2,0,0.3358848,0.57162416,0.3023396,0.107663006,0.6268064,0.014627606,0.6268064
3,0,0.31977478,0.5305476,0.2053636,0.8532978,0.8532978,0.1707843,0.1237368
4,0,0.21530834,0.19484106,0.06729105,0.13158068,0.3262034,0.3262034,0.0013995767
5,0,0.77658236,0.5993149,0.4037217,0.83911574,0.85554016,0.85554016,0.063851476
6,0,0.59982777,0.5424867,0.5056359,0.717795,0.717795,0.42700467,0.6766899
7,0,0.28334135,0.51756585,0.2252191,0.38932994,0.85307246,0.19754374,0.85307246
8,0,0.4836689,0.2510627,0.21295714,0.6500859,0.8714198,0.8714198,0.56248635
9,0,0.58002234,0.3381918,0.30008626,0.4614994,0.58002234,0.31042653,0.2297076
10,0,0.1528117,0.18460703,0.08733812,0.16039339,0.19949934,0.19949934,0.04441607
11,0,0.19158378,0.31674612,0.08866435,0.3286575,0.3286575,0.32042277,0.04302445
12,0,0.7599263,0.80568457,0.63714397,0.6837251,0.97955716,0.32010582,0.97955716
13,0,0.23566246,0.51761085,0.20687589,0.19767213,0.51761085,0.2942165,0.0017893016
14,0,0.3033858,0.54109734,0.50527847,0.63369817,0.63369817,0.018363923,0.00623402
15,0,0.25107676,0.29252702,0.12886065,0.3120867,0.3382181,0.3382181,0.22180995
16,0,0.69261354,0.7400907,0.50309175,0.82270145,0.82270145,0.3105411,0.3144548
17,0,0.18041515,0.3009155,0.29715076,0.4633554,0.4633554,0.26603755,0.04925102
18,0,0.29408452,0.3540069,0.2179065,0.29205546,0.3540069,0.25337875,0.24832398
19,0,0.13107073,0.41710263,0.13454866,0.34883094,0.41710263,0.06519735,0.0015486777
20,0,0.089928865,0.26666057,0.1618,0.17334417,0.26666057,0.25651348,0.09199795
21,0,0.17352408,0.26857147,0.1668486,0.41693634,0.41693634,0.1562748,0.24337557
22,0,0.57445794,0.43104833,0.20166224,0.25733685,0.57445794,0.3443223,0.093324244
23,0,0.5751708,0.60386825,0.33679137,0.39212805,0.7325169,0.7325169,0.32983387
24,0,0.5575059,0.64001167,0.61164254,0.76396763,0.76396763,0.064226866,0.4948047
25,0,0.31046757,0.4487489,0.1553792,0.1493178,0.4487489,0.09885454,0.42392004
26,0,0.6901078,0.2984277,0.16927832,0.36884087,0.96915066,0.96915066,0.9336095
27,0,0.85704243,0.9383439,0.8690196,0.77559483,0.9383439,0.6265201,0.6270381
28,0,0.28764692,0.6438139,0.45274952,0.71923774,0.71923774,0.14416832,0.023019522
29,0,0.3670704,0.57708466,0.14944178,0.36610693,0.57708466,0.36639065,0.16257313
30,0,0.4909881,0.7020887,0.39066952,0.20900404,0.7020887,0.13726658,0.10463658
31,0,0.32600367,0.17477289,0.101070285,0.19897965,0.32600367,0.10796034,0.035653085
32,0,0.17037332,0.18276638,0.13048914,0.12873182,0.18276638,0.073429585,0.028832495
33,0,0.12376231,0.279068,0.059963554,0.12398121,0.279068,0.15238035,0.0026696026
34,0,0.23158953,0.6171402,0.15056494,0.5452305,0.86842203,0.2685605,0.86842203
35,0,0.1262823,0.21386805,0.30761084,0.17751476,0.30761084,0.019456059,0.0644013
36,0,0.92981887,0.91964614,0.72082144,0.83123136,0.99867785,0.99867785,0.9429986
37,0,0.3366428,0.31335938,0.45880568,0.22864074,0.7195384,0.7195384,0.47684216
38,0,0.4209262,0.56178737,0.32299367,0.3919097,0.7000802,0.7000802,0.5241437
39,0,0.3366428,0.31335938,0.45880568,0.22864074,0.7195384,0.7195384,0.47684216
40,0,0.5805656,0.44816533,0.49119416,0.37689188,0.5805656,0.40990004,0.21516725
41,0,0.14870247,0.44433984,0.09700367,0.24432194,0.44433984,0.17764714,0.007230729
42,0,0.31434727,0.3897367,0.24376804,0.13577461,0.3897367,0.30924326,0.111945
43,0,0.10890764,0.28712815,0.011680692,0.039277673,0.28712815,0.0012482405,4.4882298e-05
44,0,0.12774986,0.20720518,0.11824143,0.13394883,0.20720518,0.14044145,0.18115911
45,0,0.2476424,0.26916808,0.19021302,0.1296643,0.26916808,0.17177674,0.0043210983
46,0,0.4408766,0.54181916,0.1827791,0.63337904,0.63337904,0.27432975,0.08914709
47,0,0.40497494,0.5854651,0.20459074,0.10553688,0.5854651,0.56561613,0.097907424
48,0,0.6185684,0.59981525,0.45597795,0.33722398,0.7612602,0.7612602,0.26307067
49,0,0.5279777,0.36735776,0.32418284,0.32053202,0.6037142,0.6037142,0.571567
50,0,0.23756447,0.23964858,0.12148723,0.21377718,0.23964858,0.0546982,0.00829941
51,0,0.16590115,0.25549436,0.14973444,0.12956184,0.25549436,0.14271358,0.021876246
52,0,0.06939167,0.14439571,0.073773056,0.07039639,0.14439571,0.030491263,0.0009100735
53,0,0.20576924,0.38049802,0.085238755,0.11399943,0.38049802,0.031157553,0.0003412366
54,0,0.11166847,0.5462439,0.096448034,0.14373001,0.5462439,0.21136051,0.0041266084
55,0,0.21981761,0.29674158,0.13328317,0.11815354,0.29674158,0.14232445,0.023552656
56,0,0.040941775,0.21776265,0.08621809,0.20166823,0.21776265,0.08158091,0.04111111
57,0,0.09935984,0.25320134,0.09858045,0.08735427,0.25320134,0.07222563,0.019518107
58,0,0.05032298,0.1211915,0.049137503,0.040605456,0.1211915,0.027213693,0.00028008223
59,0,0.04960242,0.10901293,0.04583651,0.1394336,0.1394336,0.10349682,0.013859004
60,0,0.35822445,0.2174209,0.57232493,0.2917065,0.57232493,0.16644141,0.5215163
61,0,0.570179,0.5780367,0.3284108,0.4093031,0.5780367,0.5511131,0.53088945
62,0,0.3260768,0.35242492,0.22991213,0.29266542,0.35242492,0.21680632,0.2686386
63,0,0.17390373,0.1991499,0.14701474,0.3028714,0.3028714,0.12786552,0.031238794
64,0,0.3677953,0.55336314,0.30248588,0.26729685,0.59053284,0.32933056,0.59053284
65,0,0.24024487,0.36054105,0.14235643,0.18556744,0.36054105,0.27388006,0.06486881
66,0,0.17804563,0.19803238,0.13263825,0.14017081,0.19803238,0.030646026,0.13080275
67,0,0.14098474,0.17288765,0.21356866,0.2646498,0.2646498,0.11335391,0.023928732
68,0,0.1984283,0.5438292,0.48708263,0.42038125,0.85479105,0.80865717,0.85479105
